,,price,price,price,power,power,power,mileage,mileage,mileage,fuelConsumption,fuelConsumption,fuelConsumption,age,age,age
,,mean,min,max,mean,min,max,mean,min,max,mean,min,max,mean,min,max
BMW,216,20519.412489728842,7600,44473,114.77510373443984,95.0,136.0,73205.64415156508,1.0,290225.0,4.341822173435787,3.5,6.6,3.9769926047658175,0,8
BMW,218,25619.120898100173,7990,56003,143.54947735191638,116.0,218.0,56944.66158113731,0.0,309000.0,4.920964446260748,3.8,7.4,3.496718480138169,0,15
BMW,220,31812.99358974359,9500,69480,186.4992518703242,1.0,374.0,51119.59149357072,0.0,303934.0,5.222402785838613,0.0,10.1,3.3658777120315584,0,9
BMW,223,45933.0,36687,49300,225.0,204.0,295.0,3775.0,0.0,9900.0,6.220000000000001,5.3,6.6,0.0,0,0
BMW,225,25989.293402777777,14950,56739,191.9981884057971,88.0,232.0,46347.203125,0.0,208000.0,2.702192982456136,1.0,13.5,3.609375,0,8
BMW,228,27200.70588235294,17999,39900,245.52941176470588,243.0,252.0,62695.705882352944,7358.0,140000.0,6.549999999999999,6.0,6.8,6.176470588235294,1,8
BMW,230,37447.94174757282,18500,69985,251.83495145631068,245.0,256.0,34558.922330097084,10.0,193000.0,6.193023255813958,5.7,7.5,2.7572815533980584,0,6
BMW,235,40410.26315789474,24499,69980,315.30263157894734,306.0,330.0,46707.61842105263,12.0,158222.0,7.322950819672133,6.3,8.5,3.9078947368421053,0,8
BMW,240,45002.625,28950,75990,344.1630434782609,340.0,411.0,29530.04891304348,0.0,103112.0,7.5931249999999935,7.0,8.8,2.5,0,6
BMW,315,39449.5,23900,54999,273.5,116.0,431.0,56775.5,25951.0,87600.0,6.15,4.0,8.3,4.0,4,4
BMW,316,14832.726387536513,670,48900,119.32746823069404,105.0,313.0,132727.97463414635,0.0,372394.0,5.149585798816568,3.4,8.9,8.915287244401169,0,22
BMW,318,20224.33049040512,555,61472,145.0230192719486,90.0,204.0,109685.484791889,0.0,457126.0,5.127892432770495,1.2,99.9,6.863539445628998,0,22
BMW,320,22157.500720807304,700,66739,180.06196424197893,7.0,277.0,119471.65215299495,0.0,2110000.0,5.200531766022963,1.3,99.9,7.138875540605478,0,22
BMW,323,7030.194444444444,2300,11500,172.65714285714284,163.0,190.0,179655.41666666666,52851.0,414408.0,9.227586206896552,6.6,10.6,20.77777777777778,10,22
BMW,325,10820.636186770427,1699,28999,210.84931506849315,116.0,261.0,183336.03112840466,50953.0,517000.0,7.767873303167422,4.4,10.9,14.050583657587548,4,22
BMW,328,18108.96052631579,1999,28450,239.20805369127515,186.0,265.0,123289.61842105263,14000.0,342200.0,6.762992125984246,6.3,10.1,9.69078947368421,6,22
BMW,330,35234.96110290497,1500,71290,253.5281762295082,184.0,349.0,79592.1175308642,0.0,459851.0,5.319529837251384,0.4,14.7,5.200393894633185,0,22
BMW,335,22492.03448275862,7350,44990,306.91289198606273,271.0,326.0,148242.61034482758,8000.0,350000.0,7.527999999999987,5.4,11.2,9.76206896551724,3,16
